	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ower	Noun	tr	person who owes money	fin	velallinen
eng	owl	Noun	tr	bird	srd	tirulia
eng	owl	Noun	tr	bird	stq	Uule	f
eng	owl	Noun	tr	bird	sun	bueuk
eng	owl	Noun	tr	bird	swa	bundi
eng	owl	Noun	tr	bird	swe	uggla	c
eng	owl	Noun	tr	bird	swe	uv	c
eng	owl	Noun	tr	bird	syc	ܒܘܡܐ	c	tr=būmā	sc=Syrc
eng	owl	Noun	tr	bird	syl	ꠙꠦꠌꠣ
eng	owl	Noun	tr	bird	syl	ꠚꠦꠌꠣ
eng	owl	Noun	tr	bird	szl	uojle	f
eng	owl	Noun	tr	bird	tam	ஆந்தை
eng	owl	Noun	tr	bird	tam	கூகை
eng	owl	Noun	tr	bird	tat	байгыш
eng	owl	Noun	tr	bird	tat	ябалак
eng	owl	Noun	tr	bird	tel	గుడ్లగూబ
eng	owl	Noun	tr	bird	tel	గూబ
eng	owl	Noun	tr	bird	tgk	бум
eng	owl	Noun	tr	bird	tgk	ҷуғз
eng	owl	Noun	tr	bird	tgl	kuwago
eng	owl	Noun	tr	bird	tha	นกฮูก	tr=nók hûuk
eng	owl	Noun	tr	bird	tuk	baýguş
eng	owl	Noun	tr	bird	tur	baykuş
eng	owl	Noun	tr	bird	twf	kǫ̏wéna
eng	owl	Noun	tr	bird	txb	uluke
eng	owl	Noun	tr	bird	uig	مۈشۈك ياپىلاق	sc=ug-Arab
eng	owl	Noun	tr	bird	uig	ھۇۋقۇش
eng	owl	Noun	tr	bird	ukr	сич	m	sc=Cyrl
eng	owl	Noun	tr	bird	ukr	сова	f
eng	owl	Noun	tr	bird	urd	الو	m	tr=ullū	sc=ur-Arab
eng	owl	Noun	tr	bird	uzb	boyoʻgʻli	alt=boyo'g'li
eng	owl	Noun	tr	bird	uzb	boyqush
eng	owl	Noun	tr	bird	uzb	yapaloqqush
eng	owl	Noun	tr	bird	vep	hir'pulo
eng	owl	Noun	tr	bird	vie	cú
eng	owl	Noun	tr	bird	vol	lül
eng	owl	Noun	tr	bird	war	bukaw
eng	owl	Noun	tr	bird	wln	houprale	f
eng	owl	Noun	tr	bird	wol	looy	alt=looy mi
eng	owl	Noun	tr	bird	wym	aojł	f
eng	owl	Noun	tr	bird	yag	sírra
eng	owl	Noun	tr	bird	yid	סאָווע	f
eng	owl	Noun	tr	bird	yor	òwìwí
eng	owl	Noun	tr	bird	yue	猫头鹰	tr=maau1 tau4 jing1
eng	owl	Noun	tr	bird	yue	貓頭鷹
eng	owl	Noun	tr	bird	yue	鴞
eng	owl	Noun	tr	bird	yue	鴟鴞
eng	owl	Noun	tr	bird	yue	鸮	tr=hiu1
eng	owl	Noun	tr	bird	yue	鸱鸮	tr=ci1 hiu1
eng	owl	Noun	tr	bird	zea	ulen	m
eng	owl	Noun	tr	bird	zha	roeggyaeujmeuz
eng	owl	Noun	tr	bird	zul	isikhova	c7	c8
eng	owl	Noun	tr	bird	zza	kund
eng	ownable	Adjective	tr		ita	possedibile
eng	own	Adjective	tr	belonging to (determiner)	afr	eie
eng	own	Adjective	tr	belonging to (determiner)	ang	āgen
eng	own	Adjective	tr	belonging to (determiner)	ara	مِلْك
eng	own	Adjective	tr	belonging to (determiner)	ara	نَفْس
eng	own	Adjective	tr	belonging to (determiner)	asm	নিজৰ
eng	own	Adjective	tr	belonging to (determiner)	aze	öz
eng	own	Adjective	tr	belonging to (determiner)	bak	үҙ
eng	own	Adjective	tr	belonging to (determiner)	bel	свой	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	bel	ула́сны	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	bel	ўла́сны	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	bul	свой	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	bul	со́бствен	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	cat	mateix
eng	own	Adjective	tr	belonging to (determiner)	cat	propi
eng	own	Adjective	tr	belonging to (determiner)	ces	vlastní
eng	own	Adjective	tr	belonging to (determiner)	cmn	自己	tr=zìjǐ de	alt=自己的	sc=Hani
eng	own	Adjective	tr	belonging to (determiner)	cor	honen
eng	own	Adjective	tr	belonging to (determiner)	dan	egen
eng	own	Adjective	tr	belonging to (determiner)	deu	eigen
eng	own	Adjective	tr	belonging to (determiner)	epo	propra
eng	own	Adjective	tr	belonging to (determiner)	fin	oma
eng	own	Adjective	tr	belonging to (determiner)	fra	propre	m	f
eng	own	Adjective	tr	belonging to (determiner)	gla	fhèin
eng	own	Adjective	tr	belonging to (determiner)	gle	féin
eng	own	Adjective	tr	belonging to (determiner)	got	𐍃𐍅𐌴𐍃
eng	own	Adjective	tr	belonging to (determiner)	grc	ἴδιος
eng	own	Adjective	tr	belonging to (determiner)	haw	ponoʻī
eng	own	Adjective	tr	belonging to (determiner)	hbs	sopstven
eng	own	Adjective	tr	belonging to (determiner)	hbs	vlastit
eng	own	Adjective	tr	belonging to (determiner)	hbs	властит
eng	own	Adjective	tr	belonging to (determiner)	hbs	сопствен
eng	own	Adjective	tr	belonging to (determiner)	hin	अपना
eng	own	Adjective	tr	belonging to (determiner)	hun	saját
eng	own	Adjective	tr	belonging to (determiner)	ind	sendiri
eng	own	Adjective	tr	belonging to (determiner)	ist	pruoprio
eng	own	Adjective	tr	belonging to (determiner)	ita	proprio
eng	own	Adjective	tr	belonging to (determiner)	jpn	自身	tr=じしんの, jishin no	alt=自身の	sc=Jpan
eng	own	Adjective	tr	belonging to (determiner)	kat	საკუთარი	sc=Geor
eng	own	Adjective	tr	belonging to (determiner)	khm	ខ្លួនឯង
eng	own	Adjective	tr	belonging to (determiner)	khm	ឯង
eng	own	Adjective	tr	belonging to (determiner)	kor	자기	tr=jagi-ui	alt=자기의
eng	own	Adjective	tr	belonging to (determiner)	lat	proprius
eng	own	Adjective	tr	belonging to (determiner)	lav	savs
eng	own	Adjective	tr	belonging to (determiner)	mkd	свој	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	mkd	сопствен	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	msa	sendiri
eng	own	Adjective	tr	belonging to (determiner)	nld	eigen
eng	own	Adjective	tr	belonging to (determiner)	oci	pròpri	m
eng	own	Adjective	tr	belonging to (determiner)	pol	swój	m
eng	own	Adjective	tr	belonging to (determiner)	pol	własny	m
eng	own	Adjective	tr	belonging to (determiner)	por	próprio
eng	own	Adjective	tr	belonging to (determiner)	rus	свой
eng	own	Adjective	tr	belonging to (determiner)	rus	со́бственный
eng	own	Adjective	tr	belonging to (determiner)	sco	ain
eng	own	Adjective	tr	belonging to (determiner)	slk	svoj	m
eng	own	Adjective	tr	belonging to (determiner)	slk	vlastný
eng	own	Adjective	tr	belonging to (determiner)	slv	lasten
eng	own	Adjective	tr	belonging to (determiner)	slv	svoj
eng	own	Adjective	tr	belonging to (determiner)	spa	propio
eng	own	Adjective	tr	belonging to (determiner)	swe	egen	c
eng	own	Adjective	tr	belonging to (determiner)	swe	eget	n
eng	own	Adjective	tr	belonging to (determiner)	swe	egna	p
eng	own	Adjective	tr	belonging to (determiner)	ukr	вла́сний	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	ukr	свій	sc=Cyrl
eng	own	Adjective	tr	belonging to (determiner)	urd	اپنا	tr=apnā	sc=ur-Arab
eng	own	Adjective	tr	belonging to (determiner)	uzb	oʻzi
eng	own	Adjective	tr	belonging to (determiner)	vec	propio
eng	owneress	Noun	tr	a female owner	rus	обладательница	f
eng	ownerless	Adjective	tr	having no owner	bul	безстопанствен
eng	ownerless	Adjective	tr	having no owner	dan	ejerløs
eng	ownerless	Adjective	tr	having no owner	ell	αδέσποτος
eng	ownerless	Adjective	tr	having no owner	fin	omistajaton
eng	ownerless	Adjective	tr	having no owner	hye	անտեր
eng	ownerless	Adjective	tr	having no owner	rus	бесхозный
eng	owner	Noun	tr	one who owns	afr	eienaar
eng	owner	Noun	tr	one who owns	ang	āgend	m
eng	owner	Noun	tr	one who owns	ara	صَاحِب	m
eng	owner	Noun	tr	one who owns	ara	صَاحِبَة	f
eng	owner	Noun	tr	one who owns	ara	مَالِك	m
eng	owner	Noun	tr	one who owns	ara	مَالِكَة	f
eng	owner	Noun	tr	one who owns	arz	صاحب	m	tr=ṣāḥib
eng	owner	Noun	tr	one who owns	asm	গৰাকী
eng	owner	Noun	tr	one who owns	asm	গিৰি
eng	owner	Noun	tr	one who owns	asm	মালিক
eng	owner	Noun	tr	one who owns	ast	dueñu	m
eng	owner	Noun	tr	one who owns	ast	propietariu	m
eng	owner	Noun	tr	one who owns	aze	malik
eng	owner	Noun	tr	one who owns	aze	sahib
eng	owner	Noun	tr	one who owns	aze	yiyə
eng	owner	Noun	tr	one who owns	bcl	kagsadiri
eng	owner	Noun	tr	one who owns	bel	гаспада́р	m
eng	owner	Noun	tr	one who owns	bel	гаспада́рка	f
eng	owner	Noun	tr	one who owns	bel	улада́льнік	m
eng	owner	Noun	tr	one who owns	bel	улада́льніца	f
eng	owner	Noun	tr	one who owns	bel	хадзя́ін	m
eng	owner	Noun	tr	one who owns	bel	хадзя́йка	f
eng	owner	Noun	tr	one who owns	ben	মালিক	sc=Beng
eng	owner	Noun	tr	one who owns	ben	সাহেব
eng	owner	Noun	tr	one who owns	bul	владе́тел	m
eng	owner	Noun	tr	one who owns	bul	владе́телка	f
eng	owner	Noun	tr	one who owns	bul	притежа́тел	m
eng	owner	Noun	tr	one who owns	bul	притежа́телка	f
eng	owner	Noun	tr	one who owns	bul	со́бственик	m
eng	owner	Noun	tr	one who owns	bul	со́бственичка	f
eng	owner	Noun	tr	one who owns	bul	стопа́нин	m
eng	owner	Noun	tr	one who owns	bul	стопа́нка	f
eng	owner	Noun	tr	one who owns	cat	propietari	m
eng	owner	Noun	tr	one who owns	ces	majitelka	f
eng	owner	Noun	tr	one who owns	ces	majitel	m
eng	owner	Noun	tr	one who owns	ces	vlastnička	f
eng	owner	Noun	tr	one who owns	ces	vlastník	m
eng	owner	Noun	tr	one who owns	chv	хуҫа
eng	owner	Noun	tr	one who owns	cmn	主人	tr=zhǔrén
eng	owner	Noun	tr	one who owns	cmn	所有者	tr=suǒyǒuzhē
eng	owner	Noun	tr	one who owns	crh	saip
eng	owner	Noun	tr	one who owns	cym	perchennog	m
eng	owner	Noun	tr	one who owns	dan	ejer	c
eng	owner	Noun	tr	one who owns	deu	Besitzerin	f
eng	owner	Noun	tr	one who owns	deu	Besitzer	m
eng	owner	Noun	tr	one who owns	deu	Eigentümerin	f
eng	owner	Noun	tr	one who owns	deu	Eigentümer	m
eng	owner	Noun	tr	one who owns	ell	ιδιοκτήτης	m
eng	owner	Noun	tr	one who owns	ell	ιδιοκτήτρια	f
eng	owner	Noun	tr	one who owns	epo	posedanto
eng	owner	Noun	tr	one who owns	epo	proprietulo
eng	owner	Noun	tr	one who owns	est	omanik
eng	owner	Noun	tr	one who owns	fao	eigari	m
eng	owner	Noun	tr	one who owns	fas	صاحب	tr=sâheb
eng	owner	Noun	tr	one who owns	fas	مالک	tr=mâlek
eng	owner	Noun	tr	one who owns	fin	omistaja
eng	owner	Noun	tr	one who owns	fra	propriétaire	m	f
eng	owner	Noun	tr	one who owns	fur	paron	m
eng	owner	Noun	tr	one who owns	gle	úinéir	m
eng	owner	Noun	tr	one who owns	glg	dono	m
eng	owner	Noun	tr	one who owns	glg	propietario	m
eng	owner	Noun	tr	one who owns	glv	shellooder	m
eng	owner	Noun	tr	one who owns	grc	κτήτωρ	m
eng	owner	Noun	tr	one who owns	hbs	vlȃsnica	f
eng	owner	Noun	tr	one who owns	hbs	vlȃsnīk	m
eng	owner	Noun	tr	one who owns	hbs	вла̑снӣк	m
eng	owner	Noun	tr	one who owns	hbs	вла̑сница	f
eng	owner	Noun	tr	one who owns	heb	בַּעַל	m	tr=bá'al
eng	owner	Noun	tr	one who owns	heb	בַּעֲלָה	f	tr=ba'alá
eng	owner	Noun	tr	one who owns	hin	मालिक	m
eng	owner	Noun	tr	one who owns	hin	यजमान	m
eng	owner	Noun	tr	one who owns	hin	साहब	m
eng	owner	Noun	tr	one who owns	hin	साहिब	m
eng	owner	Noun	tr	one who owns	hun	tulajdonos
eng	owner	Noun	tr	one who owns	hye	տեր
eng	owner	Noun	tr	one who owns	ind	pemilik
eng	owner	Noun	tr	one who owns	isl	eigandi	m
eng	owner	Noun	tr	one who owns	ita	proprietaria	f
eng	owner	Noun	tr	one who owns	ita	proprietario	m
eng	owner	Noun	tr	one who owns	jpn	オーナー	tr=ōnā
eng	owner	Noun	tr	one who owns	jpn	主人	tr=しゅ​じん, shujin
eng	owner	Noun	tr	one who owns	jpn	所有者	tr=しょゆうしゃ, shoyūsha
eng	owner	Noun	tr	one who owns	jpn	持ち主	tr=もちぬし, mochinushi
eng	owner	Noun	tr	one who owns	kat	მეპატრონე
eng	owner	Noun	tr	one who owns	kat	მესაკუთრე
eng	owner	Noun	tr	one who owns	kat	მფლობელი
eng	owner	Noun	tr	one who owns	kat	პატრონი
eng	owner	Noun	tr	one who owns	kaz	ие
eng	owner	Noun	tr	one who owns	kaz	қожайын
eng	owner	Noun	tr	one who owns	khm	ម្ចាស់
eng	owner	Noun	tr	one who owns	kik	mwene	c1
eng	owner	Noun	tr	one who owns	kir	кожоюн
eng	owner	Noun	tr	one who owns	kir	ээси
eng	owner	Noun	tr	one who owns	kmr	sahib
eng	owner	Noun	tr	one who owns	kmr	xudan
eng	owner	Noun	tr	one who owns	kmr	xwedan
eng	owner	Noun	tr	one who owns	kmr	xwedî
eng	owner	Noun	tr	one who owns	kor	주인
eng	owner	Noun	tr	one who owns	kor	소유자
eng	owner	Noun	tr	one who owns	kor	所有者
eng	owner	Noun	tr	one who owns	lao	ເຈົ້າຂອງ
eng	owner	Noun	tr	one who owns	lat	dominus
eng	owner	Noun	tr	one who owns	lat	possessor
eng	owner	Noun	tr	one who owns	lav	saimniece	f
eng	owner	Noun	tr	one who owns	lav	saimnieks	m
eng	owner	Noun	tr	one who owns	lit	savininkas	m
eng	owner	Noun	tr	one who owns	mkd	сопственик	m
eng	owner	Noun	tr	one who owns	mkd	сопственица	f
eng	owner	Noun	tr	one who owns	mkd	сопственичка	f
eng	owner	Noun	tr	one who owns	mon	эзэн
eng	owner	Noun	tr	one who owns	mon	ᠡᠵᠡᠨ
eng	owner	Noun	tr	one who owns	mri	rangatira
eng	owner	Noun	tr	one who owns	msa	pemilik
eng	owner	Noun	tr	one who owns	msa	punya
eng	owner	Noun	tr	one who owns	msa	tuan
eng	owner	Noun	tr	one who owns	mya	ပိုင်ရှင်
eng	owner	Noun	tr	one who owns	mya	အရှင်
eng	owner	Noun	tr	one who owns	nld	bezitster	f
eng	owner	Noun	tr	one who owns	nld	bezitter	m
eng	owner	Noun	tr	one who owns	nld	eigenaar	m
eng	owner	Noun	tr	one who owns	nld	eigenares	n
eng	owner	Noun	tr	one who owns	nno	eigar	m
eng	owner	Noun	tr	one who owns	nob	eier	m
eng	owner	Noun	tr	one who owns	nrf	aûgni	m
eng	owner	Noun	tr	one who owns	nrf	propriétaithe	m	f
eng	owner	Noun	tr	one who owns	oci	proprietari	m
eng	owner	Noun	tr	one who owns	pdt	Ieejendeema	m
eng	owner	Noun	tr	one who owns	pol	właścicielka	f
eng	owner	Noun	tr	one who owns	pol	właściciel	m
eng	owner	Noun	tr	one who owns	por	dono	m
eng	owner	Noun	tr	one who owns	por	proprietário	m
eng	owner	Noun	tr	one who owns	pus	صاحب	m	tr=sāhéb
eng	owner	Noun	tr	one who owns	pus	مالک	m	tr=mālik
eng	owner	Noun	tr	one who owns	ron	proprietar	m
eng	owner	Noun	tr	one who owns	rus	владе́лец	m
eng	owner	Noun	tr	one who owns	rus	владе́лица	f
eng	owner	Noun	tr	one who owns	rus	обладатель	m
eng	owner	Noun	tr	one who owns	rus	обладательница	f
eng	owner	Noun	tr	one who owns	rus	со́бственник	m
eng	owner	Noun	tr	one who owns	rus	со́бственница	f
eng	owner	Noun	tr	one who owns	rus	хозя́ин	m
eng	owner	Noun	tr	one who owns	rus	хозя́йка	f
eng	owner	Noun	tr	one who owns	slk	majiteľka	f
eng	owner	Noun	tr	one who owns	slk	majiteľ	m
eng	owner	Noun	tr	one who owns	slk	vlastníčka	f
eng	owner	Noun	tr	one who owns	slk	vlastník	m
eng	owner	Noun	tr	one who owns	slv	lastnica	f
eng	owner	Noun	tr	one who owns	slv	lastnik	m
eng	owner	Noun	tr	one who owns	sms	ho´zje´n
eng	owner	Noun	tr	one who owns	spa	dueño	m
eng	owner	Noun	tr	one who owns	spa	poseedor	m
eng	owner	Noun	tr	one who owns	spa	propietario	m
eng	owner	Noun	tr	one who owns	sqi	pronar	m
eng	owner	Noun	tr	one who owns	swa	mwenyewe
eng	owner	Noun	tr	one who owns	swe	ägare	c
eng	owner	Noun	tr	one who owns	tat	хуҗа
eng	owner	Noun	tr	one who owns	tel	యజమాని
eng	owner	Noun	tr	one who owns	tel	స్వంతదారు
eng	owner	Noun	tr	one who owns	tgk	молик
eng	owner	Noun	tr	one who owns	tgk	соҳиб
eng	owner	Noun	tr	one who owns	tgl	may-ari
eng	owner	Noun	tr	one who owns	tha	เจ้าของ
eng	owner	Noun	tr	one who owns	tuk	eýe
eng	owner	Noun	tr	one who owns	tuk	hojaýyn
eng	owner	Noun	tr	one who owns	tur	elmen
eng	owner	Noun	tr	one who owns	tur	iye
eng	owner	Noun	tr	one who owns	tur	malik
eng	owner	Noun	tr	one who owns	tur	sahip
eng	owner	Noun	tr	one who owns	uig	ئىگە
eng	owner	Noun	tr	one who owns	uig	خوجايىن
eng	owner	Noun	tr	one who owns	uig	ساھىب
eng	owner	Noun	tr	one who owns	ukr	вла́сник	m
eng	owner	Noun	tr	one who owns	ukr	вла́сниця	f
eng	owner	Noun	tr	one who owns	ukr	хазя́їн	m
eng	owner	Noun	tr	one who owns	ukr	хазя́йка	f
eng	owner	Noun	tr	one who owns	urd	صاحب	m	tr=sāhib
eng	owner	Noun	tr	one who owns	urd	مالک	m	tr=mālik
eng	owner	Noun	tr	one who owns	uzb	ega
eng	owner	Noun	tr	one who owns	uzb	molik
eng	owner	Noun	tr	one who owns	uzb	sohib
eng	owner	Noun	tr	one who owns	uzb	xoʻjayin
eng	owner	Noun	tr	one who owns	zdj	mwinyi
eng	owner	Noun	tr	one who owns	zza	wahêr
eng	owner	Noun	tr	one who owns	zza	wayır	c
eng	owner	Noun	tr	one who owns	zza	wêr	c
eng	ownership equity	Noun	tr	the remaining interest in all assets after all liabilities are paid	ces	vlastní kapitál
eng	ownership	Noun	tr	legal status	afb	ملكية	f	tr=mulkīya
eng	ownership	Noun	tr	legal status	ang	āgenung	f
eng	ownership	Noun	tr	legal status	ara	مُلْكِيَّة	f
eng	ownership	Noun	tr	legal status	ast	propiedá	f
eng	ownership	Noun	tr	legal status	bel	вало́данне	n
eng	ownership	Noun	tr	legal status	bel	вало́даньне	n
eng	ownership	Noun	tr	legal status	bel	улада́нне	n
eng	ownership	Noun	tr	legal status	bel	улада́ньне	n
eng	ownership	Noun	tr	legal status	bul	владе́ние	n
eng	ownership	Noun	tr	legal status	bul	притежание	n
eng	ownership	Noun	tr	legal status	cat	propietat	f
eng	ownership	Noun	tr	legal status	ces	vlastnictví	n
eng	ownership	Noun	tr	legal status	cmn	所有权	tr=suǒyǒuquán	sc=Hani
eng	ownership	Noun	tr	legal status	cmn	所有權	sc=Hani
eng	ownership	Noun	tr	legal status	cym	perchnogaeth	f
eng	ownership	Noun	tr	legal status	deu	Eigentum	n
eng	ownership	Noun	tr	legal status	fin	omistaminen
eng	ownership	Noun	tr	legal status	fin	omistus
eng	ownership	Noun	tr	legal status	fra	propriété	f
eng	ownership	Noun	tr	legal status	gle	dílseacht	f
eng	ownership	Noun	tr	legal status	gle	úinéireacht	f
eng	ownership	Noun	tr	legal status	glg	propiedade	f
eng	ownership	Noun	tr	legal status	hin	मल्कियत	f
eng	ownership	Noun	tr	legal status	hin	स्वामित्व	m
eng	ownership	Noun	tr	legal status	hun	tulajdonjog
eng	ownership	Noun	tr	legal status	ita	padronanza
eng	ownership	Noun	tr	legal status	ita	proprietà	f
eng	ownership	Noun	tr	legal status	jpn	所有権	tr=しょゆうけん, shoyūken	sc=Jpan
eng	ownership	Noun	tr	legal status	kat	მესაკუთრეობა
eng	ownership	Noun	tr	legal status	kat	მფლობელობა
eng	ownership	Noun	tr	legal status	kat	საკუთრება
eng	ownership	Noun	tr	legal status	kat	ფლობა
eng	ownership	Noun	tr	legal status	kor	소유권
eng	ownership	Noun	tr	legal status	kor	所有權
eng	ownership	Noun	tr	legal status	lat	dominium	n
eng	ownership	Noun	tr	legal status	lat	proprietas	f
eng	ownership	Noun	tr	legal status	mkd	владеење	n
eng	ownership	Noun	tr	legal status	nld	eigendom	m
eng	ownership	Noun	tr	legal status	nno	eigarskap	m	n
eng	ownership	Noun	tr	legal status	pol	posiadanie
eng	ownership	Noun	tr	legal status	pol	własność
eng	ownership	Noun	tr	legal status	por	propriedade	f
eng	ownership	Noun	tr	legal status	ron	proprietate	f
eng	ownership	Noun	tr	legal status	ron	proprietăți	f-p
eng	ownership	Noun	tr	legal status	rus	владе́ние	n
eng	ownership	Noun	tr	legal status	rus	со́бственность	f
eng	ownership	Noun	tr	legal status	slk	vlastnenie	n
eng	ownership	Noun	tr	legal status	spa	propiedad	f
eng	ownership	Noun	tr	legal status	swe	ägande
eng	ownership	Noun	tr	legal status	swe	ägarskap
eng	ownership	Noun	tr	legal status	tel	స్వామ్యం
eng	ownership	Noun	tr	legal status	tgl	pagmamay-ari
eng	ownership	Noun	tr	legal status	tur	iyelik
eng	ownership	Noun	tr	legal status	tur	malik
eng	ownership	Noun	tr	legal status	tur	sahiplik
eng	ownership	Noun	tr	legal status	ukr	володі́ння	n
eng	own goal	Noun	tr	blunder that damages one's own prospects	dan	selvmål	n
eng	own goal	Noun	tr	blunder that damages one's own prospects	deu	Eigentor	n
eng	own goal	Noun	tr	blunder that damages one's own prospects	fin	oma maali
eng	own goal	Noun	tr	blunder that damages one's own prospects	nob	selvmål	n
eng	own goal	Noun	tr	blunder that damages one's own prospects	pol	samobój	m
eng	own goal	Noun	tr	goal scored by player against their own team	bre	embal
eng	own goal	Noun	tr	goal scored by player against their own team	bul	автого́л	m
eng	own goal	Noun	tr	goal scored by player against their own team	cat	autogol	m
eng	own goal	Noun	tr	goal scored by player against their own team	cmn	乌龙球	tr=wūlóngqiú	sc=Hani
eng	own goal	Noun	tr	goal scored by player against their own team	cmn	烏龍球	sc=Hani
eng	own goal	Noun	tr	goal scored by player against their own team	dan	selvmål	n
eng	own goal	Noun	tr	goal scored by player against their own team	deu	Eigentor	n
eng	own goal	Noun	tr	goal scored by player against their own team	fin	oma maali
eng	own goal	Noun	tr	goal scored by player against their own team	fra	but contre son camp	m
eng	own goal	Noun	tr	goal scored by player against their own team	glg	autogol
eng	own goal	Noun	tr	goal scored by player against their own team	hun	öngól
eng	own goal	Noun	tr	goal scored by player against their own team	ind	gol bunuh diri
eng	own goal	Noun	tr	goal scored by player against their own team	isl	sjálfsmark	n
eng	own goal	Noun	tr	goal scored by player against their own team	ita	autogoal	m
eng	own goal	Noun	tr	goal scored by player against their own team	ita	autorete	f
eng	own goal	Noun	tr	goal scored by player against their own team	jpn	オウンゴール	tr=oun gōru
eng	own goal	Noun	tr	goal scored by player against their own team	jpn	自殺点	tr=じさつてん, jisatsuten
eng	own goal	Noun	tr	goal scored by player against their own team	kor	자책골
eng	own goal	Noun	tr	goal scored by player against their own team	mkd	автогол	m
eng	own goal	Noun	tr	goal scored by player against their own team	msa	gol sendiri
eng	own goal	Noun	tr	goal scored by player against their own team	nno	sjølvmål	n
eng	own goal	Noun	tr	goal scored by player against their own team	nob	selvmål	n
eng	own goal	Noun	tr	goal scored by player against their own team	pol	bramka samobójcza	f
eng	own goal	Noun	tr	goal scored by player against their own team	pol	gol samobójczy	m
eng	own goal	Noun	tr	goal scored by player against their own team	pol	samobój	m
eng	own goal	Noun	tr	goal scored by player against their own team	por	autogolo	m
eng	own goal	Noun	tr	goal scored by player against their own team	por	gol contra	m
eng	own goal	Noun	tr	goal scored by player against their own team	ron	autogol	n
eng	own goal	Noun	tr	goal scored by player against their own team	rus	автого́л	m
eng	own goal	Noun	tr	goal scored by player against their own team	rus	гол в свои́ воро́та	m
eng	own goal	Noun	tr	goal scored by player against their own team	spa	autogol
eng	own goal	Noun	tr	goal scored by player against their own team	spa	gol en contra	m
eng	own goal	Noun	tr	goal scored by player against their own team	spa	gol en propia meta	m
eng	own goal	Noun	tr	goal scored by player against their own team	spa	gol en propia puerta	m
eng	own goal	Noun	tr	goal scored by player against their own team	sqi	autogol
eng	own goal	Noun	tr	goal scored by player against their own team	swe	självmål	n
eng	own goal	Noun	tr	goal scored by player against their own team	vie	phản lưới nhà
eng	own up	Verb	tr	to confess	cmn	承認犯錯	tr=認罪	sc=Hani
eng	own up	Verb	tr	to confess	ell	παραδέχομαι
eng	own up	Verb	tr	to confess	fra	admettre
eng	own up	Verb	tr	to confess	fra	confesser
eng	own up	Verb	tr	to confess	por	admitir
eng	own up	Verb	tr	to confess	por	assumir
eng	own up	Verb	tr	to confess	por	confessar
eng	own up	Verb	tr	to confess	por	confessar	alt=confessar que
eng	own up	Verb	tr	to confess	ron	mărturisi
eng	own up	Verb	tr	to confess	rus	признавать	impf
eng	own up	Verb	tr	to confess	rus	принимать	impf
eng	own up	Verb	tr	to confess	spa	confesar
eng	own	Verb	tr	acknowledge responsibility for	afr	erken
eng	own	Verb	tr	acknowledge responsibility for	afr	toegee
eng	own	Verb	tr	acknowledge responsibility for	deu	eingestehen
eng	own	Verb	tr	acknowledge responsibility for	deu	zugeben
eng	own	Verb	tr	acknowledge responsibility for	fin	tunnustaa
eng	own	Verb	tr	acknowledge responsibility for	grc	νομίζω	sc=polytonic
eng	own	Verb	tr	acknowledge responsibility for	rus	признава́ть
eng	own	Verb	tr	acknowledge responsibility for	spa	admitir
eng	own	Verb	tr	acknowledge responsibility for	spa	reconocer
eng	own	Verb	tr	acknowledge responsibility for	swe	erkänna
eng	own	Verb	tr	acknowledge responsibility for	swe	tillstå
eng	own	Verb	tr	acknowledge responsibility for	swe	vidgå
eng	own	Verb	tr	have rightful possession of	afr	besit
eng	own	Verb	tr	have rightful possession of	afr	het
eng	own	Verb	tr	have rightful possession of	ang	āgan
eng	own	Verb	tr	have rightful possession of	ara	مَلَكَ
eng	own	Verb	tr	have rightful possession of	bel	вало́даць	impf
eng	own	Verb	tr	have rightful possession of	bel	мець	impf
eng	own	Verb	tr	have rightful possession of	bul	владе́я	impf
eng	own	Verb	tr	have rightful possession of	bul	и́мам	impf
eng	own	Verb	tr	have rightful possession of	ces	mít	impf
eng	own	Verb	tr	have rightful possession of	ces	vlastnit	impf
eng	own	Verb	tr	have rightful possession of	chy	-á'en
eng	own	Verb	tr	have rightful possession of	cmn	所有	tr=suǒyǒu
eng	own	Verb	tr	have rightful possession of	cmn	拥有	tr=yōngyǒu	sc=Hani
eng	own	Verb	tr	have rightful possession of	cmn	有	tr=yǒu	sc=Hani
eng	own	Verb	tr	have rightful possession of	dan	eje
eng	own	Verb	tr	have rightful possession of	deu	besitzen
eng	own	Verb	tr	have rightful possession of	deu	haben
eng	own	Verb	tr	have rightful possession of	epo	posedi
eng	own	Verb	tr	have rightful possession of	fao	eiga
eng	own	Verb	tr	have rightful possession of	fin	omistaa
eng	own	Verb	tr	have rightful possession of	fra	avoir
eng	own	Verb	tr	have rightful possession of	fra	posséder
