	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta del Virgen del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta de Nuestra Señora del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		xtm	Viko Nana Rosariu
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	deu	Beschneidung des Herrn	f
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	nld	Besnijdenis van de Heer	f
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	deu	Namen-Jesu-Fest	n
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	nld	Zoete Naam Jezus	m
eng	Feb	Proper noun	tr	abbreviation of February	cat	febr.
eng	Feb	Proper noun	tr	abbreviation of February	fra	févr.
eng	Feb	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb.	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb	Proper noun	tr	abbreviation of February	por	fev	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	rus	февра́ль-водоле́й	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	febrero, cebadero
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	lluvioso febrero, año cebadero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tha	กุมภาพันธ์
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ton	Fēpueli
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tpi	februeri
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tuk	fewral
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tur	gücük
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tur	küçük ay
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	tur	şubat
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	udm	тулыспал
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	uig	فېۋرال
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ukr	лю́тий	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	urd	فروری	f	tr=farvarī
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	uzb	fevral
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	vec	febraro
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	vie	tháng hai
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	vol	febul
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	vro	radokuu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	war	pebrero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	win	Hųųc wiihiraagnįra
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	wln	fevrî
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	wol	Fewriyee
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	xbr	wulang dàmbu
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	xcl	փեբրուարիոս
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	xho	Februwari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	xmf	ფურთუთა
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	yid	פֿעברואַר	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	yor	february
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	yue	二月	tr=ji6 jyut6	sc=Hani
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	zul	uFebruwari
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	zun	Onan U'la'k'yakwamme
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	zza	şıbat
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	zza	zemherı
eng	Federal Communications Commission	Proper noun	tr	US wireless regulatory authority	deu	Federal Communications Commission	f
eng	Federal Communications Commission	Proper noun	tr	US wireless regulatory authority	kat	კომუნიკაციების ფედერალური კომისია
eng	Federal Communications Commission	Proper noun	tr	US wireless regulatory authority	tur	Federal İletişim Kurulu
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	dan	Tysklands forfatningsdomstol	c
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	deu	Bundesverfassungsgericht	n
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	deu	BVerfG
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	fra	tribunal constitutionnel fédéral	m
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	kat	გერმანიის ფედერალური საკონსტიტუციო სასამართლო
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	kat	ფედერალური საკონსტიტუციო სასამართლო
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	rus	конституционный суд Германии
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	rus	Федеральный Конституционный суд Федеративной Республики Германии
eng	Federal Constitutional Court	Proper noun	tr	supreme court of Germany	swe	Tysklands författningsdomstol	c
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	ara	جمهوريَة أثيوبيا الفدراليَة الديمقراطيَة
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	ben	কেন্দ্রীয় গণপ্রজাতন্ত্রী ইথিওপিয়া
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	gle	Poblacht Dhaonlathach Chónaidhme na hAetóipe	f
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	hbs	Savezna Demokratska Republika Etiopija
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	hun	Etióp Szövetségi Demokratikus Köztársaság
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	jpn	エチオピア連邦民主共和国	tr=Echiopia Rempō Minshu Kyōwakoku	sc=Jpan
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	khm	សាធារណរដ្ឋប្រជាធិបតេយ្យសហព័ន្ធអេត្យូពី	tr=sa thea rak nak roth bro jea thib tai sak hak pourn ei tyo pi	sc=Khmr
eng	Federal Democratic Republic of Ethiopia	Proper noun	tr	official name of Ethiopia	ron	Republica Federală Democratică a Etiopiei	f
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	cmn	尼泊尔联邦民主共和国	tr=Níbó'ěr Liánbāng Mínzhǔ Gònghéguó
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	cmn	尼泊爾聯邦民主共和國
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	ell	Ομοσπονδιακή Λαϊκή Δημοκρατία του Νεπάλ	f	sc=Grek
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	fin	Nepalin demokraattinen liittotasavalta
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	gle	Poblacht Chónaidhme Dhaonlathach Neipeal	f
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	hun	Nepáli Szövetségi Demokratikus Köztársaság
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	khm	សាធារណរដ្ឋប្រជាធិបតេយ្យសហព័ន្ធនេប៉ាល់	tr=sa thea rak nak roth bro jea thib tai sak hak pourn nei pal	sc=Khmr
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	lav	Nepālas Federālā Demokrātiskā Republika	f
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	ron	Republica Federală Democrată Nepal	f
eng	Federal Democratic Republic of Nepal	Proper noun	tr	official name of Nepal	yue	尼泊爾聯邦民主共和國	tr=nei4 pok3 ji5 lyun4 bong1 man4 zyu2 gung6 wo4 gwok3
eng	Federal District	Proper noun	tr	federal district in central-western Brazil	por	Distrito Federal	m
eng	Federal District	Proper noun	tr	federal district in Mexico	por	Distrito Federal	m
eng	Federal Intelligence Service	Proper noun	tr	German foreign intelligence agency	deu	Bundesnachrichtendienst
eng	Federal Intelligence Service	Proper noun	tr	German foreign intelligence agency	kat	გერმანიის დაზვერვის ფედერალური სამსახური
eng	Federal Intelligence Service	Proper noun	tr	German foreign intelligence agency	kat	დაზვერვის ფედერალური სამსახური
eng	Federal Intelligence Service	Proper noun	tr	Swiss intelligence community collectively	deu	Nachrichtendienst des Bundes
eng	Federal Intelligence Service	Proper noun	tr	Swiss intelligence community collectively	deu	NDB
eng	Federal Intelligence Service	Proper noun	tr	Swiss intelligence community collectively	deu	Schweizer Nachrichtendienste
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	afr	Bondsrepubliek Duitsland
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ara	جُمْهُورِيَّة أَلْمَانِيَا اَلاِتِّحَادِيَّة	f	tr=jumhūriyyat ʾalmāniyā l-ittiḥādiyya
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	aze	Almaniya Federativ Respublikası
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	bel	Федэраты́ўная Рэспу́бліка Герма́нія	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	bul	Федерална република Германия	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	cat	República Federal d'Alemanya	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ces	Spolková republika Německo	n
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	cmn	德意志联邦共和国	tr=Déyìzhì liánbāng gònghéguó	sc=Hani
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	cmn	德意志聯邦共和國	sc=Hani
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	cor	Republik Keffrysek Almayn	m
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	cym	Gweriniaeth Ffederal yr Almaen	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	dan	Forbundsrepublikken Tyskland	c
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	deu	Bundesrepublik Deutschland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ell	Ομοσπονδιακή Δημοκρατία της Γερμανίας	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	epo	Federacia Respubliko Germanio
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	est	Saksamaa Liitvabariik
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	eus	Alemania Errepublika Federala
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	fao	Samveldislýðveldið Týskland	n
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	fas	جمهوری فدرال آلمان	tr=jomhuri-ye federâl-e âlmân
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	fin	Saksan liittotasavalta
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	fra	République fédérale d'Allemagne	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	gle	Poblacht Chónaidhme na Gearmáine	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	glg	República Federal de Alemaña	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	hbs	Savezna Republika Njemačka	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	hbs	Савезна Република Њемачка	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	heb	הָרֶפּוּבְּלִיקָה הַפֵדֵרָלִית שֶׁל גֶּרְמַנְיָה	tr=harepubeliqah hafédéralit shel germanya
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	hun	Német Szövetségi Köztársaság
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	hye	Գերմանիայի Դաշնային Հանրապետություն
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	hye	Գերմանիայի Ֆեդերատիվ Հանրապետություն
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ind	Republik Federal Jerman
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	isl	Sambandslýðveldið Þýskaland	n
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ita	Repubblica Federale di Germania	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ita	Repubblica Federale Tedesca	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	jpn	ドイツ連邦共和国	tr=Doitsu renpō kyōwakoku	sc=Jpan
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	kat	გერმანიის ფედერაციული რესპუბლიკა
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	kaz	Германия Федеративтік Республикасы
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	khm	សាធារណរដ្ឋសហព័ន្ធអាល្លឺម៉ង់	tr=sa thea rak nak roth sak hak pon a ller mong	sc=Khmr
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	kor	도이칠란트 연방공화국
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	kor	독일 연방공화국
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	lav	Vācijas Federatīvā Republika	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	lit	Vokietijos Federacinė Respublika	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	mkd	Сојузна Република Германија	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	msa	Republik Persekutuan Jerman
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nds-de	Bundsrepubliek Düütschland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nds-de	Bundsrepublik Düütschland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nds-de	Bunnsrepubliek Düütschland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nds-de	Bunnsrepublik Düütschland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nld	Bondsrepubliek Duitsland	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nno	Forbundsrepublikken Tyskland	m
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	nob	Forbundsrepublikken Tyskland	m
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	pdc	Bunnes-Republic Deitschland
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	pol	Republika Federalna Niemiec	m-p
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	por	República Federal da Alemanha	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ron	Republica Federală Germania	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	rus	Федерати́вная Респу́блика Герма́ния	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	slk	Nemecká spolková republika	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	slv	Zvezna republika Nemčija	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	sme	Duiskka lihttodásseváldi
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	spa	República Federal de Alemania	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	sqi	Republika Federale e Gjermanisë
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	swe	Förbundsrepubliken Tyskland	c
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	tgl	Republikang Pederal ng Alemanya
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	tha	สหพันธ์สาธารณรัฐเยอรมนี	tr=sà-hà-pan sǎa-taa-rá-ná-rát yəə-rá-má-nii
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	tuk	German Federatiw Respublkasy
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	tur	Almanya Federal Cumhuriyeti
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	ukr	Федерати́вна Респу́бліка Німе́ччина	f
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	uzb	Germaniya Federativ Respublikasi
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	vie	Cộng hòa Liên bang Đức
eng	Federal Republic of Germany	Proper noun	tr	Germany's official name	vol	Fedarepüblik Deutäna
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	ara	جُمْهُورِيَّة نيِجِيرِيَا الاِتِّحَادِيَّة	f	tr=jumhūriyyat nījēriyā l-ittiḥādiyya
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	dan	Forbundsrepublikken Nigeria
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	est	Nigeeria Liitvabariik
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	fin	Nigerian liittotasavalta
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	gle	Poblacht Chónaidhme na Nigéire	f
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	glg	República Federal de Nixeria	f
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	por	República Federal da Nigéria	f
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	por	República Federativa da Nigéria	f
eng	Federal Republic of Nigeria	Proper noun	tr	official name of Nigeria	ron	Republica Federală Nigeria	f
eng	Federal Reserve System	Proper noun	tr	US central banking system	cmn	美联储	tr=Měiliánchǔ
eng	Federal Reserve System	Proper noun	tr	US central banking system	cmn	美聯儲
eng	Federal Reserve System	Proper noun	tr	US central banking system	cmn	联邦储备系统	tr=Liánbāng chǔbèi xìtǒng
eng	Federal Reserve System	Proper noun	tr	US central banking system	cmn	聯邦儲備系統
eng	Federal Reserve System	Proper noun	tr	US central banking system	deu	Federal Reserve System	n
eng	Federal Reserve System	Proper noun	tr	US central banking system	fin	Fed
eng	Federal Reserve System	Proper noun	tr	US central banking system	fin	Yhdysvaltain keskuspankki
eng	Federal Reserve System	Proper noun	tr	US central banking system	fra	Réserve fédérale des États-Unis	f
eng	Federal Reserve System	Proper noun	tr	US central banking system	hye	Դաշնային պահուստային համակարգ
eng	Federal Reserve System	Proper noun	tr	US central banking system	isl	Seðlabanki Bandaríkjanna
eng	Federal Reserve System	Proper noun	tr	US central banking system	kat	ფედერალური რეზერვი
eng	Federal Reserve System	Proper noun	tr	US central banking system	kat	ფედერალური სარეზერვო სისტემა
eng	Federal Reserve System	Proper noun	tr	US central banking system	som	bangigga federaalka dhexe
eng	Federal Reserve System	Proper noun	tr	US central banking system	spa	Sistema de la Reserva Federal
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	ara	وِلَايَات مِيكْرونِيسِيَا الْمُتَّحِدَة	f	p	tr=wilāyāt mikrōnēsiyā l-muttaḥida
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	ben	মাইক্রোনেশিয়া যুক্তরাজ্য	sc=Beng
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	cmn	密克罗尼西亚联邦	tr=Mìkèluóníxīyǎ liánbāng	sc=Hani
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	cmn	密克羅尼西亞聯邦	sc=Hani
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	cmn	米克罗尼西亚联邦	tr=Mìkèluóníxīyǎ liánbāng	sc=Hani
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	cmn	米克羅尼西亞聯邦	sc=Hani
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	dan	Mikronesiens Forenede Stater	p
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	deu	Föderierte Staaten von Mikronesien	m-p
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	ell	Ομόσπονδες Πολιτείες της Μικρονησίας	f-p	sc=Grek
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	fin	Mikronesian liittovaltio
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	fra	États fédérés de Micronésie	m-p
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	gle	Stáit Chónaidhme na Micrinéise	m-p
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	ind	Federasi Mikronesia
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	jpn	ミクロネシア連邦	sc=Jpan	tr=Mikuronesia renpō
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	kat	მიკრონეზიის ფედერაციული შტატები
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	nav	Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	nno	Mikronesiaføderasjonen
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	nob	Mikronesiaføderasjonen
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	por	Estados Federados da Micronésia	m-p
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	rus	Федерати́вные Шта́ты Микроне́зии	m-p	tr=Federatívnyje Štáty Mikronɛ́zii
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	swe	Mikronesiens federerade stater
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	swe	Mikronesiska federationen
eng	Federated States of Micronesia	Proper noun	tr	official name of Micronesia	tuk	Mikroneziýanyň Birleşen Ştatlary
eng	Federation of Bosnia and Herzegovina	Proper noun	tr	Entity within Bosnia and Herzegovina	lav	Bosnijas un Hercegovinas Federācija	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	afr	Federale Republiek Brasilië
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	cat	República Federal del Brasil	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	dan	Føderative Republik Brasilien
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	deu	Föderative Republik Brasilien	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	ell	Ομόσπονδη Δημοκρατία της Βραζιλίας
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	ell	Ομοσπονδιακή Δημοκρατία της Βραζιλίας
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	epo	Federacia Respubliko Brazila
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	fra	république fédérative du Brésil	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	gle	Poblacht Chónaidhmitheach na Brasaíle	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	glg	República Federativa do Brasil	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	haw	Lepupalika pekelala o Palakila
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	ind	Republik Federal Brasil
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	ita	Repubblica federativa del Brasile	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	jpn	ブラジル連邦共和国	tr=burajiru renpō kyōwakoku
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	lat	Respublica Foederata Brasiliae	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	nah	Nenahuatiliztlacatlahtohcayotl Brasil
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	nld	Federale Republiek van Brazilië	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	pol	Federacyjna Republika Brazylii	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	por	República Federativa do Brasil	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	ron	Republica Federativă a Braziliei	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	rus	Федеративная Республика Бразилия	f	sc=Cyrl
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	spa	República Federativa del Brasil	f
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	swa	Shirikisho la Jamhuri ya Brazil
eng	Federative Republic of Brazil	Proper noun	tr	official name of Brazil	swe	Förbundsrepubliken Brasilien	c
eng	Federer	Proper noun	tr	surname	cmn	費德勒	sc=Hani
eng	Federer	Proper noun	tr	surname	cmn	费德勒	tr=Fèidélè	sc=Hani
eng	Federweisser	Noun	tr	partially fermented grape must	ces	burčák	m
eng	Federweisser	Noun	tr	partially fermented grape must	deu	Federweißer	m
eng	Federweisser	Noun	tr	partially fermented grape must	slk	burčiak	m
eng	Fehling's solution	Noun	tr	an alkaline solution	fin	Fehlingin liuos
eng	Fehling's solution	Noun	tr	an alkaline solution	tur	Fehling çözeltisi
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	dan	Femern Bælt
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	deu	Fehmarnbelt	m
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	fra	Fehmarn Belt	m
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	nor	Fehmarn Bælt
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	nor	Fehmarnbelt
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	nor	Fehmarn Belt
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	nor	Femern-belt
eng	Fehmarn Belt	Proper noun	tr	strait in the Baltic Sea	swe	Fehmarn Bält	n
eng	Fehmarn	Proper noun	tr	German island	dan	Femern
eng	Feingold	Proper noun	tr	surname	heb	פיינגולד
eng	Feingold	Proper noun	tr	surname	yid	פֿײַנגאָלד
eng	Felicia	Proper noun	tr	female given name	deu	Felizia
eng	Felicia	Proper noun	tr	female given name	glg	Felicia
eng	Felicia	Proper noun	tr	female given name	glg	Felisa
eng	Felicia	Proper noun	tr	female given name	ron	Felicia
eng	Felicia	Proper noun	tr	female given name	spa	Felisa
eng	Felicia	Proper noun	tr	female given name	swe	Felicia
eng	Felicity	Proper noun	tr	female given name	deu	Felicitas
eng	Felicity	Proper noun	tr	female given name	deu	Felizitas
eng	Felicity	Proper noun	tr	female given name	ell	Φελίσιτι
eng	Felicity	Proper noun	tr	female given name	epo	Feliĉita
eng	Felicity	Proper noun	tr	female given name	fra	Félicité
eng	Felicity	Proper noun	tr	female given name	ita	Felicita
eng	Felicity	Proper noun	tr	female given name	jpn	フェリシティー	tr=Ferishitī
eng	Felicity	Proper noun	tr	female given name	lat	Felicitas
eng	Felicity	Proper noun	tr	female given name	spa	Felicidad
eng	Felix	Proper noun	tr	male given name	cat	Feliu
eng	Felix	Proper noun	tr	male given name	cat	Fèlix
eng	Felix	Proper noun	tr	male given name	ces	Felix
eng	Felix	Proper noun	tr	male given name	dan	Felix
eng	Felix	Proper noun	tr	male given name	deu	Felix
eng	Felix	Proper noun	tr	male given name	egl	Flîs
eng	Felix	Proper noun	tr	male given name	ell	Φήλιξ
eng	Felix	Proper noun	tr	male given name	epo	Felikso
eng	Felix	Proper noun	tr	male given name	est	Feliks
eng	Felix	Proper noun	tr	male given name	fra	Félix
eng	Felix	Proper noun	tr	male given name	grc	Εὐτύχιος
eng	Felix	Proper noun	tr	male given name	hun	Félix
eng	Felix	Proper noun	tr	male given name	ind	Felix
eng	Felix	Proper noun	tr	male given name	ita	Felice
eng	Felix	Proper noun	tr	male given name	jpn	フェリックス	tr=Ferikkusu
eng	Felix	Proper noun	tr	male given name	lat	Felix	m
eng	Felix	Proper noun	tr	male given name	lmo	Felis
eng	Felix	Proper noun	tr	male given name	lmo	Filìs
eng	Felix	Proper noun	tr	male given name	nor	Felix
eng	Felix	Proper noun	tr	male given name	oci	Faliç	m
eng	Felix	Proper noun	tr	male given name	oci	Feliç	m
